_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
2714,80067,373,Bottle Filling Station,None,Water Bottle Filling Count,None,GLENN GOULD PARK - Drinking Water Source
2715,96943,375,Bottle Filling Station,None,Water Bottle Filling Count,None,JESSE KETCHUM PARK - Drinking Water Source (  1)
2716,102077,375,Bottle Filling Station,None,Water Bottle Filling Count,None,JESSE KETCHUM PARK - Drinking Water Source (  2)
2717,34028,376,Playground,None,Playground Site,None,JOSEPH WORKMAN PARK - Playground
2718,102097,376,Bottle Filling Station,None,Water Bottle Filling Count,None,JOSEPH WORKMAN PARK - Drinking Water Source
2719,2187,377,Drinking Fountain,None,Drinking Fountain Count,None,LARRY SEFTON PARK - Drinking Water Source
2720,2937,378,Outdoor Basketball Court,None,Basketball Court,None,MACGREGOR PLAYGROUND - Basketball Court
2721,29567,378,Fieldhouse,None,Fieldhouse,None,MACGREGOR PLAYGROUND - Fieldhouse
2722,29567,378,Washroom Facility,None,Washroom Building,None,MACGREGOR PLAYGROUND - Fieldhouse
2723,30822,378,Ball Diamond,sport,Baseball Diamond Field - A,A,MACGREGOR PLAYGROUND - Ball Diamond Field
2724,33794,378,Playground,None,Playground Site,None,MACGREGOR PLAYGROUND - Playground
2725,73005,378,Splash Pad,None,Splash/Spray Pad,None,MACGREGOR PLAYGROUND - Splash/Spray Pad
2726,80402,378,Bottle Filling Station,None,Water Bottle Filling Count,None,MACGREGOR PLAYGROUND - Drinking Water Source (  1)
2727,80403,378,Drinking Fountain,None,Drinking Fountain Count,None,MACGREGOR PLAYGROUND - Drinking Water Source (  2)
2728,102037,378,Bottle Filling Station,None,Water Bottle Filling Count,None,MACGREGOR PLAYGROUND - Drinking Water Source (  3)
2729,2132,379,Drinking Fountain,None,Drinking Fountain Count,None,MCCLEARY PARK - Drinking Water Source (  1)
2730,18064,379,Ball Diamond,sport,Baseball Diamond Field - A,A,MCCLEARY PARK - Ball Diamond Field (  1)
2731,18065,379,Ball Diamond,sport,Baseball Diamond Field - A,A,MCCLEARY PARK - Ball Diamond Field (  2)
2732,32743,379,Fieldhouse,None,Fieldhouse,None,MCCLEARY PARK FIELDHOUSE AND WASHROOM
2733,32743,379,Washroom Facility,None,Washroom Building,None,MCCLEARY PARK FIELDHOUSE AND WASHROOM
2734,71304,379,Bottle Filling Station,None,Water Bottle Filling Count,None,MCCLEARY PARK - Drinking Water Source (  2)
2735,77978,379,Practice Wicket,None,Practice Wicket,None,MCCLEARY PARK - Practice Wicket (  1)
2736,77980,379,Practice Wicket,None,Practice Wicket,None,MCCLEARY PARK - Practice Wicket (  2)
2737,2718,382,Drinking Fountain,None,Drinking Fountain Count,None,OAK STREET PARK - Drinking Water Source
2738,3957,382,Outdoor Basketball Court,None,Basketball Court,None,OAK STREET PARK - Basketball Court
2739,34229,382,Playground,None,Playground Site,None,OAK STREET PARK - Playground
2740,2708,384,Drinking Fountain,None,Drinking Fountain Count,None,MATTY ECKLER PLAYGROUND - Drinking Water Source
2741,5290,384,Wading Pool,None,Wading Pool,None,MATTY ECKLER PLAYGROUND - Wading Pool
